Iteration,Learning Rate,Batch Size,Gamma,GAE Lambda,N_steps,Mean Score
536,0.00025,64,0.99,0.95,1918,29.08
537,0.00025,64,0.99,0.95,1266,31.24
538,0.00025,64,0.99,0.95,2590,26.68
539,0.00025,64,0.99,0.95,1908,32.08
540,0.00025,64,0.99,0.95,3837,30
541,0.00025,64,0.99,0.95,1725,30.04
542,0.00025,64,0.99,0.95,1856,29.02
543,0.00025,64,0.99,0.95,1171,25.42
544,0.00025,64,0.99,0.95,2304,25.36
545,0.00025,64,0.99,0.95,559,28.34
546,0.00025,64,0.99,0.95,3731,32.78
547,0.00025,64,0.99,0.95,2608,28.26
548,0.00025,64,0.99,0.95,2059,30
549,0.00025,64,0.99,0.95,2975,30.6
550,0.00025,64,0.99,0.95,2760,27.92
551,0.00025,64,0.99,0.95,3337,30.7
552,0.00025,64,0.99,0.95,3541,32.24
553,0.00025,64,0.99,0.95,506,29.34
554,0.00025,64,0.99,0.95,3397,33.72
555,0.00025,64,0.99,0.95,2482,29.92
556,0.00025,64,0.99,0.95,3777,29.4
557,0.00025,64,0.99,0.95,2108,26.56
558,0.00025,64,0.99,0.95,2207,26.26
559,0.00025,64,0.99,0.95,1985,24.36
560,0.00025,64,0.99,0.95,529,22.78
561,0.00025,64,0.99,0.95,1842,28.42
562,0.00025,64,0.99,0.95,2922,30.06
563,0.00025,64,0.99,0.95,2799,25.8
564,0.00025,64,0.99,0.95,2593,29.18
565,0.00025,64,0.99,0.95,3653,29.06
566,0.00025,64,0.99,0.95,2093,28.34
567,0.00025,64,0.99,0.95,1521,28.82
568,0.00025,64,0.99,0.95,3400,29.56
569,0.00025,64,0.99,0.95,2785,28.92
570,0.00025,64,0.99,0.95,3772,31.96
571,0.00025,64,0.99,0.95,3654,32.04
572,0.00025,64,0.99,0.95,1778,24.92
573,0.00025,64,0.99,0.95,1301,28.42
574,0.00025,64,0.99,0.95,1505,27.68
575,0.00025,64,0.99,0.95,2424,28.38
576,0.00025,64,0.99,0.95,1777,23.36
577,0.00025,64,0.99,0.95,545,27.88
578,0.00025,64,0.99,0.95,3262,30.2
579,0.00025,64,0.99,0.95,3871,28.8
580,0.00025,64,0.99,0.95,1555,27.18
581,0.00025,64,0.99,0.95,685,29.76
