Environment,Episodes of training,Algorithm Name,Training time,Mean Score,Standard Deviation,Score adjusted,training time * wattage,kilowatt hours
Cart Pole,50000.0,A2C,43.052,500.0,0.0,,73634.1831298889,0.020453939758302474
Cart Pole,50000.0,SAC,,,,,,
Cart Pole,50000.0,DQN,4.639,9.8,0.4,,7906.693077326152,0.0021963036325905977
Cart Pole,100000.0,PPO,66.964,500.0,0.0,,125540.29443725,0.03487230401034722
Cart Pole,100000.0,TD3,,,,,,
Cart Pole,100000.0,DDPG,,,,,,
Cart Pole,100000.0,A2C,82.073,500.0,0.0,,140373.92715830557,0.03899275754397377
Cart Pole,100000.0,SAC,,,,,,
Cart Pole,100000.0,DQN,38.358,166.6,11.056219,,65377.22204356036,0.018160339456544543
Cart Pole,500000.0,PPO,324.14,500.0,0.0,,607679.21627875,0.16879978229965278
Cart Pole,500000.0,TD3,,,,,,
Cart Pole,500000.0,DDPG,,,,,,
Cart Pole,500000.0,A2C,398.486,500.0,0.0,,681552.3343560556,0.1893200928766821
Cart Pole,500000.0,SAC,,,,,,
Cart Pole,500000.0,DQN,239.871,101.6,2.0591261,,408835.1746392113,0.11356532628866982
Cart Pole,1000000.0,PPO,679.817,500.0,0.0,,1274482.2045195627,0.35402283458876743
Cart Pole,1000000.0,TD3,,,,,,
Cart Pole,1000000.0,DDPG,,,,,,
Cart Pole,1000000.0,A2C,1105.034,500.0,0.0,,1889999.9052483893,0.5249999736801082
Cart Pole,1000000.0,SAC,,,,,,
Cart Pole,1000000.0,DQN,617.537,455.2,67.62958,,1052527.5970883293,0.29236877696898034
,,,,,,,,
Mountain Car,10000.0,PPO,7.507,-200.0,0.0,,14073.6961701875,0.003909360047274306
Mountain Car,10000.0,TD3,,,,,,
Mountain Car,10000.0,DDPG,,,,,,
Mountain Car,10000.0,A2C,10.08,-200.0,0.0,,17240.37364,0.004788992677777778
Mountain Car,10000.0,SAC,,,,,,
Mountain Car,10000.0,DQN,0.964,-200.0,0.0,,1643.0377509252878,0.00045639937525702437
Mountain Car,20000.0,PPO,14.968,-200.0,0.0,,28061.1541595,0.007794765044305556
Mountain Car,20000.0,TD3,,,,,,
Mountain Car,20000.0,DDPG,,,,,,
Mountain Car,20000.0,A2C,17.364,-200.0,0.0,,29698.596020333338,0.00824961000564815
Mountain Car,20000.0,SAC,,,,,,
Mountain Car,20000.0,DQN,1.81,-200.0,0.0,,3084.9567730028743,0.0008569324369452428
Mountain Car,50000.0,PPO,36.713,-200.0,0.0,,68827.44205356251,0.019118733903767365
Mountain Car,50000.0,TD3,,,,,,
Mountain Car,50000.0,DDPG,,,,,,
Mountain Car,50000.0,A2C,44.006,-200.0,0.0,,75265.8613493889,0.020907183708163583
Mountain Car,50000.0,SAC,,,,,,
Mountain Car,50000.0,DQN,4.612,-200.0,0.0,,7860.674385132186,0.002183520662536718
Mountain Car,100000.0,PPO,66.623,-200.0,0.0,,124901.00705293752,0.03469472418137153
Mountain Car,100000.0,TD3,,,,,,
Mountain Car,100000.0,DDPG,,,,,,
Mountain Car,100000.0,A2C,83.129,-200.0,0.0,,142180.0615396389,0.039494461538788585
Mountain Car,100000.0,SAC,,,,,,
Mountain Car,100000.0,DQN,32.082,-200.0,0.0,,54680.43270247416,0.0151890090840206
Mountain Car,500000.0,PPO,334.29,-200.0,0.0,,626707.8583631251,0.1740855162119792
Mountain Car,500000.0,TD3,,,,,,
Mountain Car,500000.0,DDPG,,,,,,
Mountain Car,500000.0,A2C,417.818,-200.0,0.0,,714616.9080870557,0.1985046966908488
Mountain Car,500000.0,SAC,,,,,,
Mountain Car,500000.0,DQN,251.359,-200.0,0.0,,428415.27596974006,0.11900424332492779
Mountain Car,1000000.0,PPO,780.895,-115.2,4.4452224,,1463977.4837909376,0.40666041216414933
Mountain Car,1000000.0,TD3,,,,,,
Mountain Car,1000000.0,DDPG,,,,,,
Mountain Car,1000000.0,A2C,1132.49,-200.0,0.0,,1936959.399163056,0.5380442775452933
Mountain Car,1000000.0,SAC,,,,,,
Mountain Car,1000000.0,DQN,699.428,-200.0,0.0,,1192102.2905126268,0.3311395251423963
,,,,,,,,
Mountain Car Continuous,10000.0,PPO,7.535,-33.458187,0.8717723,,14126.1889759375,0.003923941382204862
Mountain Car Continuous,10000.0,TD3,73.799,-0.00585588,0.0,,116499.52179073213,0.03236097827520337
Mountain Car Continuous,10000.0,DDPG,65.561,-0.00024594,0.0,,103809.97579050002,0.028836104386250005
Mountain Car Continuous,10000.0,A2C,8.797,-19.069592,0.3803642,,15045.988780861115,0.004179441328016976
Mountain Car Continuous,10000.0,SAC,120.352,-19.712421,0.7621958,,192567.848596,0.053491069054444444
Mountain Car Continuous,10000.0,DQN,,,,,,
Mountain Car Continuous,20000.0,PPO,13.077,-15.851764,0.54710174,,24516.015028312504,0.006810004174531251
Mountain Car Continuous,20000.0,TD3,123.487,-0.01570409,0.0,,194937.28163487496,0.05414924489857638
Mountain Car Continuous,20000.0,DDPG,133.489,-0.0088933,,,211367.8842345,0.05871330117625
Mountain Car Continuous,20000.0,A2C,15.657,-4.310563,0.20037623,,26779.02084141667,0.00743861690039352
Mountain Car Continuous,20000.0,SAC,205.049,-1.8934644,0.05643269,,328086.320017625,0.09113508889378472
Mountain Car Continuous,20000.0,DQN,,,,,,
Mountain Car Continuous,50000.0,PPO,30.487,-1.781049,0.01631226,,57155.2917464375,0.015876469929565973
Mountain Car Continuous,50000.0,TD3,408.812,-0.00468354,0.0,,645352.9519683571,0.17926470888009918
Mountain Car Continuous,50000.0,DDPG,438.81,-0.00773759,0.0,,694816.361505,0.19300454486250002
Mountain Car Continuous,50000.0,A2C,40.239,-0.09516143,0.00397818,,68822.95584325,0.019117487734236112
Mountain Car Continuous,50000.0,SAC,745.641,-0.8064345,0.037644,,1193054.400383625,0.33140400010656246
Mountain Car Continuous,50000.0,DQN,,,,,,
Mountain Car Continuous,100000.0,PPO,62.002,-0.08407043,0.00442174,,116237.81936112502,0.03228828315586806
Mountain Car Continuous,100000.0,TD3,636.754,-0.04306185,0.00810513,,1005183.4916236785,0.2792176365621329
Mountain Car Continuous,100000.0,DDPG,616.797,-0.00650486,0.0,,976642.8461685,0.27128967949125
Mountain Car Continuous,100000.0,A2C,74.328,-0.0112479,0.00051765,,127127.2313406667,0.03531311981685186
Mountain Car Continuous,100000.0,SAC,1031.626,-0.9040891,0.02779079,,1650641.4465542499,0.4585115129317361
Mountain Car Continuous,100000.0,DQN,,,,,,
Mountain Car Continuous,500000.0,PPO,320.397,-0.00047079,2.04e-05,,600662.0529958125,0.1668505702766146
Mountain Car Continuous,500000.0,TD3,5078.819,-0.2582169,0.0,,8017452.60452966,2.2270701679249054
Mountain Car Continuous,500000.0,DDPG,4816.87,-0.02352449,0.0,,7627082.535135,2.1186340375375
Mountain Car Continuous,500000.0,A2C,472.705,-0.00036729,1.06e-05,,808493.1370531946,0.2245814269592207
Mountain Car Continuous,500000.0,SAC,5345.503,-0.78420794,0.02601356,,8553011.270053374,2.375836463903715
Mountain Car Continuous,500000.0,DQN,,,,,,
Mountain Car Continuous,1000000.0,PPO,709.974,-0.00027401,1.89e-05,,1331018.8310553753,0.3697274530709376
Mountain Car Continuous,1000000.0,TD3,9145.836,-0.00773018,0.0,,14437668.808201497,4.0104635578337495
Mountain Car Continuous,1000000.0,DDPG,8888.341,-0.01638026,0.0,,14073892.4669805,3.90941457416125
Mountain Car Continuous,1000000.0,A2C,1021.859,-99.89905,0.0,,1747741.1674004726,0.4854836576112424
Mountain Car Continuous,1000000.0,SAC,11336.933,-0.8047203,0.04670065,,18139530.689037126,5.038758524732535
Mountain Car Continuous,1000000.0,DQN,,,,,,
,,,,,,,,
Pendulum,10000.0,PPO,7.11,-1010.1453,147.16849,,13329.423174375002,0.0037026175484375008
Pendulum,10000.0,TD3,58.249,-99.464005,49.376087,,91952.20321126786,0.025542278669796626
Pendulum,10000.0,DDPG,56.327,-213.75525,86.96872,,89188.7632335,0.02477465645375
Pendulum,10000.0,A2C,8.89,-1205.929,79.83441,,15205.051751944447,0.004223625486651236
Pendulum,10000.0,SAC,100.71,-167.85419,60.964664,,161139.88992375,0.044761080534375
Pendulum,10000.0,DQN,,,,,,
Pendulum,20000.0,PPO,13.649,-1176.8657,122.546524,,25588.3680600625,0.007107880016684028
Pendulum,20000.0,TD3,114.616,-158.25522,103.75977,,180933.4705018571,0.05025929736162697
Pendulum,20000.0,DDPG,129.241,-125.215355,4.2916355,,204641.55643050003,0.056844876786250005
Pendulum,20000.0,A2C,16.391,-1552.9423,47.163765,,28034.421064805556,0.00778733918466821
Pendulum,20000.0,SAC,202.841,-122.2829,76.810715,,324553.434733625,0.09015373187045138
Pendulum,20000.0,DQN,,,,,,
