learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,epsilon,mean_reward,training_time,std_reward
0.001,512,64,0.999,0.95,0.2,0.1,1E-07,500,6.19323658943176,0
0.001,512,64,0.999,0.95,0.2,0.01,1E-06,500,6.34674596786499,0
0.001,512,64,0.999,0.95,0.3,0,1E-06,500,6.09755063056946,0
0.001,512,64,0.999,0.95,0.3,0.1,1E-06,500,6.13802242279053,0
0.001,512,64,0.999,0.95,0.3,0.01,1E-07,500,6.30475401878357,0
0.001,512,64,0.999,0.95,0.3,0.001,1E-07,500,6.31135869026184,0
0.001,512,64,0.999,0.95,0.4,0.01,1E-05,500,6.68834757804871,0
0.001,512,64,0.999,0.95,0.5,0.1,1E-07,500,6.37301421165466,0
0.001,512,64,0.999,0.95,0.5,0.01,1E-06,500,6.65106654167175,0
0.001,512,64,0.999,0.9,0.1,0.1,1E-07,500,6.34702491760254,0
0.001,512,64,0.999,0.9,0.2,0,1E-05,500,6.8972864151001,0
0.001,512,64,0.999,0.9,0.2,0.01,1E-07,500,6.22236967086792,0
0.001,512,64,0.999,0.85,0.2,0.1,1E-05,500,6.25145030021668,0
0.001,512,128,0.9,0.95,0.2,0.1,1E-05,500,5.69244146347046,0
0.001,512,128,0.9,0.95,0.2,0.01,1E-06,500,5.1512598991394,0
0.001,512,128,0.9,0.95,0.3,0.1,1E-07,500,5.02879643440247,0
0.001,512,128,0.9,0.95,0.3,0.01,1E-05,500,5.2766592502594,0
0.001,512,128,0.9,0.95,0.4,0.1,1E-06,500,5.19074535369873,0
0.001,512,128,0.9,0.95,0.4,0.01,1E-06,500,5.04688048362732,0
0.001,512,128,0.9,0.95,0.5,0,1E-07,500,5.37923288345337,0
0.001,512,128,0.9,0.9,0.4,0.1,1E-06,500,5.15995121002197,0
0.001,512,128,0.9,0.9,0.5,0,1E-06,500,5.20053505897522,0
0.001,512,128,0.9,0.85,0.4,0,1E-07,500,5.41101980209351,0
0.001,512,128,0.9,0.85,0.4,0.01,1E-07,500,5.31459856033325,0
0.001,512,128,0.9,0.85,0.5,0.001,1E-06,500,5.32758712768555,0
0.001,512,128,0.95,0.95,0.4,0.1,1E-06,500,5.16279649734497,0
0.001,512,128,0.95,0.9,0.3,0.1,1E-07,500,5.2071213722229,0
0.001,512,128,0.95,0.9,0.5,0,1E-05,500,5.22123432159424,0
0.001,512,128,0.95,0.9,0.5,0.01,1E-06,500,5.46897101402283,0
0.001,512,128,0.95,0.85,0.5,0.1,1E-07,500,5.97720456123352,0
0.001,512,128,0.99,0.95,0.1,0.001,1E-05,500,5.23747372627258,0
0.001,512,128,0.99,0.95,0.2,0.1,1E-05,500,5.13303947448731,0
0.001,512,128,0.99,0.95,0.2,0.1,1E-06,500,4.94454145431519,0
0.001,512,128,0.99,0.95,0.4,0.1,1E-06,500,4.97802257537842,0
0.001,512,128,0.99,0.95,0.4,0.01,1E-06,500,5.06742119789124,0
0.001,512,128,0.99,0.95,0.4,0.01,1E-07,500,4.77701830863953,0
0.001,512,128,0.99,0.95,0.4,0.001,1E-06,500,4.89124298095703,0
0.001,512,128,0.99,0.95,0.5,0,1E-06,500,5.39282011985779,0
0.001,512,128,0.99,0.95,0.5,0.1,1E-07,500,5.02205896377564,0
0.001,512,128,0.99,0.95,0.5,0.001,1E-06,500,5.21258783340454,0
0.001,512,128,0.99,0.95,0.5,0.001,1E-07,500,4.94562792778015,0
0.001,512,128,0.99,0.9,0.3,0.1,1E-05,500,5.03233599662781,0
0.001,512,128,0.99,0.9,0.4,0.01,1E-06,500,5.07834935188293,0
0.001,512,128,0.99,0.9,0.4,0.001,1E-06,500,5.28883123397827,0
0.001,512,128,0.99,0.9,0.5,0.1,1E-05,500,5.13927531242371,0
0.001,512,128,0.99,0.9,0.5,0.01,1E-05,500,5.14357376098633,0
0.001,512,128,0.99,0.85,0.5,0.1,1E-06,500,4.97592186927795,0
0.001,512,128,0.999,0.95,0.1,0,1E-07,500,4.87866640090942,0
0.001,512,128,0.999,0.95,0.2,0.1,1E-05,500,5.18020701408386,0
0.001,512,128,0.999,0.95,0.2,0.01,1E-07,500,5.07464838027954,0
0.001,512,128,0.999,0.95,0.4,0.01,1E-06,500,5.12785649299622,0
0.001,512,128,0.999,0.95,0.4,0.01,1E-07,500,4.83853483200073,0
0.001,512,128,0.999,0.95,0.5,0,1E-07,500,4.84023761749268,0
0.001,512,128,0.999,0.95,0.5,0.01,1E-07,500,5.26331210136414,0
0.001,512,128,0.999,0.85,0.4,0.01,1E-06,500,5.18617391586304,0
0.001,512,128,0.999,0.85,0.4,0.01,1E-07,500,5.19224119186401,0
0.001,512,128,0.999,0.85,0.5,0.01,1E-06,500,5.55820631980896,0
