Learning Rate,N_steps,Batch Size,Gamma,gae_lambda,Clip Range,ent_coef,epsilon,Mean Score,training_time,standard deviation
0.99,512,64,0.9,0.85,0.4,0.1,1E-05,9.2,6.67594528198242,0.871779788708135
0.99,512,64,0.9,0.85,0.4,0.1,1E-06,9.4,6.82258820533752,0.66332495807108
0.99,512,64,0.9,0.85,0.4,0.1,1E-07,9.3,6.25883221626282,0.781024967590665
0.99,512,64,0.9,0.85,0.4,0.01,1E-05,9.5,6.26135516166687,0.806225774829855
0.99,512,64,0.9,0.85,0.4,0.01,1E-06,9.4,6.3413999080658,0.489897948556636
0.99,512,64,0.9,0.85,0.4,0.01,1E-07,9.3,6.58973026275635,0.458257569495584
0.99,512,64,0.9,0.85,0.4,0.001,1E-05,9.1,6.25988531112671,0.7
0.99,512,64,0.9,0.85,0.4,0.001,1E-06,9.3,6.73221349716187,0.640312423743285
0.99,512,64,0.9,0.85,0.4,0.001,1E-07,9.5,6.74504733085632,0.5
0.99,512,64,0.9,0.85,0.5,0,1E-05,9.4,6.44394469261169,0.66332495807108
0.99,512,64,0.9,0.85,0.5,0,1E-06,9.6,6.92723751068115,0.489897948556636
0.99,512,64,0.9,0.85,0.5,0,1E-07,9.4,6.32726883888245,0.8
0.99,512,64,0.9,0.85,0.5,0.1,1E-05,9.7,6.21032881736755,0.640312423743285
0.99,512,64,0.9,0.85,0.5,0.1,1E-06,9.4,6.54775738716126,0.8
0.99,512,64,0.9,0.85,0.5,0.1,1E-07,8.7,6.33338475227356,0.781024967590666
0.99,512,64,0.9,0.85,0.5,0.01,1E-05,9.1,6.32353472709656,0.94339811320566
0.99,512,64,0.9,0.85,0.5,0.01,1E-06,9.5,6.5472252368927,0.5
0.99,512,64,0.9,0.85,0.5,0.01,1E-07,9.6,6.62324285507202,0.916515138991168
0.99,512,64,0.9,0.85,0.5,0.001,1E-05,9.4,6.51121497154236,0.8
0.99,512,64,0.9,0.85,0.5,0.001,1E-06,9.6,6.20676016807556,0.489897948556636
0.99,512,64,0.9,0.85,0.5,0.001,1E-07,9.1,6.38186097145081,0.830662386291808
0.99,512,64,0.95,0.95,0.1,0,1E-05,9.1,6.50013017654419,0.830662386291808
0.99,512,64,0.95,0.95,0.1,0,1E-06,9,6.49891376495361,0.774596669241483
0.99,512,64,0.95,0.95,0.1,0,1E-07,9,6.36842155456543,0.632455532033676
0.99,512,64,0.95,0.95,0.1,0.1,1E-05,9.1,6.50477075576782,0.94339811320566
0.99,512,64,0.95,0.95,0.1,0.1,1E-06,9.5,6.55450534820557,0.670820393249937
0.99,512,64,0.95,0.95,0.1,0.1,1E-07,9.1,6.10750222206116,0.830662386291808
0.99,512,64,0.95,0.95,0.1,0.01,1E-05,9.7,6.26240658760071,0.781024967590666
0.99,512,64,0.95,0.95,0.1,0.01,1E-06,9.7,6.48192977905273,0.458257569495584
0.99,512,64,0.95,0.95,0.1,0.01,1E-07,9.1,6.35439157485962,0.7
0.99,512,64,0.95,0.95,0.1,0.001,1E-05,9.5,6.45973253250122,0.5
0.99,512,64,0.95,0.95,0.1,0.001,1E-06,9.2,6.52021551132202,0.6
0.99,512,64,0.95,0.95,0.1,0.001,1E-07,9.2,6.45312595367432,0.748331477354788
0.99,512,64,0.95,0.95,0.2,0,1E-05,28.8,6.41619944572449,4.09389789809174
0.99,512,64,0.95,0.95,0.2,0,1E-06,9.3,6.28642439842224,0.781024967590666
0.99,512,64,0.95,0.95,0.2,0,1E-07,9.4,6.4159734249115,0.916515138991168
0.99,512,64,0.95,0.95,0.2,0.1,1E-05,9.6,6.19918274879456,0.489897948556636
0.99,512,64,0.95,0.95,0.2,0.1,1E-06,9.4,6.44879460334778,0.916515138991168
0.99,512,64,0.95,0.95,0.2,0.1,1E-07,9.2,6.43270754814148,0.748331477354788
0.99,512,64,0.95,0.95,0.2,0.01,1E-05,8.9,6.32926464080811,0.7
0.99,512,64,0.95,0.95,0.2,0.01,1E-06,9.2,6.33732724189758,0.748331477354788
0.99,512,64,0.95,0.95,0.2,0.01,1E-07,9,6.32387232780457,0.774596669241483
0.99,512,64,0.95,0.95,0.2,0.001,1E-05,9.4,6.47248888015747,0.8
0.99,512,64,0.95,0.95,0.2,0.001,1E-06,9.7,6.52752351760864,0.640312423743285
0.99,512,64,0.95,0.95,0.2,0.001,1E-07,9.3,6.25046110153198,0.781024967590666
0.99,512,64,0.95,0.95,0.3,0,1E-05,9.3,6.41286206245422,0.781024967590666
0.99,512,64,0.95,0.95,0.3,0,1E-06,9.4,6.16553688049316,0.8
0.99,512,64,0.95,0.95,0.3,0,1E-07,9.6,6.63318490982056,0.8
0.99,512,64,0.95,0.95,0.3,0.1,1E-05,9.5,6.49341416358948,0.670820393249937
0.99,512,64,0.95,0.95,0.3,0.1,1E-06,9.2,6.20278906822205,0.6
0.99,512,64,0.95,0.95,0.3,0.1,1E-07,9.5,6.17936182022095,0.670820393249937
0.99,512,64,0.95,0.95,0.3,0.01,1E-05,9.5,6.77308416366577,0.670820393249937
0.99,512,64,0.95,0.95,0.3,0.01,1E-06,9,6.43043875694275,0.447213595499958
0.99,512,64,0.95,0.95,0.3,0.01,1E-07,9.3,6.50050187110901,0.640312423743285
0.99,512,64,0.95,0.95,0.3,0.001,1E-05,9.3,6.23575139045715,0.458257569495584
0.99,512,64,0.95,0.95,0.3,0.001,1E-06,9,6.37192463874817,0.894427190999916
0.99,512,64,0.95,0.95,0.3,0.001,1E-07,9.3,6.41387748718262,0.9
0.99,512,64,0.95,0.95,0.4,0,1E-05,9.5,6.6599452495575,0.670820393249937
0.99,512,64,0.95,0.95,0.4,0,1E-06,9.7,6.40515112876892,0.781024967590665
0.99,512,64,0.95,0.95,0.4,0,1E-07,9.2,6.25855326652527,0.748331477354788
0.99,512,64,0.95,0.95,0.4,0.1,1E-05,9.6,6.37433743476868,0.66332495807108
0.99,512,64,0.95,0.95,0.4,0.1,1E-06,9.6,6.63004803657532,0.66332495807108
0.99,512,64,0.95,0.95,0.4,0.1,1E-07,9.4,6.48596429824829,0.916515138991168
0.99,512,64,0.95,0.95,0.4,0.01,1E-05,8.9,6.16303682327271,0.830662386291808
0.99,512,64,0.95,0.95,0.4,0.01,1E-06,9.7,6.60812640190125,0.458257569495584
0.99,512,64,0.95,0.95,0.4,0.01,1E-07,9.7,6.64862895011902,0.9
0.99,512,64,0.95,0.95,0.4,0.001,1E-05,8.8,6.18781971931458,0.748331477354788
0.99,512,64,0.95,0.95,0.4,0.001,1E-06,9.6,6.7039966583252,0.489897948556636
0.99,512,64,0.95,0.95,0.4,0.001,1E-07,9.4,6.28785920143127,0.66332495807108
0.99,512,64,0.95,0.95,0.5,0,1E-05,9.4,6.72040772438049,0.66332495807108
0.99,512,64,0.95,0.95,0.5,0,1E-06,9.5,6.36164021492004,0.806225774829855
0.99,512,64,0.95,0.95,0.5,0,1E-07,9.3,6.42735266685486,0.781024967590665
